,word,annotation_level1_Dieuwertje,annotation_level2_Dieuwertje,annotation_level3_Dieuwertje,annotation_level1_Thirza,annotation_level2_Thirza,annotation_level3_Thirza,annotation_Dieuwertje_total,annotation_Thirza_total
2092,anders,O,O,O,O,O,O,O,O
2093,te,O,O,O,O,O,O,O,O
2094,ligt,O,O,O,O,O,O,O,O
2095,uitkooken,O,O,O,O,O,O,O,O
2096,of,O,O,O,O,O,O,O,O
2097,barsten,O,O,O,O,O,O,O,O
2098,;,O,O,O,O,O,O,O,O
2099,en,O,O,O,O,O,O,O,O
2100,men,O,O,O,O,O,O,O,O
2101,bind,O,O,O,O,O,O,O,O
2102,ze,O,O,O,O,O,O,O,O
2103,met,O,O,O,O,O,O,O,O
2104,een,O,O,O,O,O,O,O,O
2105,touwtje,O,O,O,O,O,O,O,O
2106,onder,O,O,O,O,O,O,O,O
2107,en,O,O,O,O,O,O,O,O
2108,boven,O,O,O,O,O,O,O,O
2109,toe,O,O,O,O,O,O,O,O
2110,",",O,O,O,O,O,O,O,O
2111,en,O,O,O,O,O,O,O,O
2112,dan,O,O,O,O,O,O,O,O
2113,wordenze,O,O,O,O,O,O,O,O
2114,op,O,O,O,O,O,O,O,O
2115,een,O,O,O,O,O,O,O,O
2116,schootel,O,O,O,O,O,O,O,O
2117,plat,O,O,O,O,O,O,O,O
2118,nedergelegt,O,O,O,O,O,O,O,O
2119,",",O,O,O,O,O,O,O,O
2120,tot,O,O,O,O,O,O,O,O
2121,dat,O,O,O,O,O,O,O,O
2122,ze,O,O,O,O,O,O,O,O
2123,gekookt,O,O,O,O,O,O,O,O
2124,worden,O,O,O,O,O,O,O,O
2125,:,O,O,O,O,O,O,O,O
2126,Voor,O,O,O,O,O,O,O,O
2127,al,O,O,O,O,O,O,O,O
2128,moet,O,O,O,O,O,O,O,O
2129,men,O,O,O,O,O,O,O,O
2130,niet,O,O,O,O,O,O,O,O
2131,vergeeten,O,O,O,O,O,O,O,O
2132,genoeg,O,O,O,O,O,O,O,O
2133,vet,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
2134,daar,O,O,O,O,O,O,O,O
2135,in,O,O,O,O,O,O,O,O
2136,te,O,O,O,O,O,O,O,O
2137,doen,O,O,O,O,O,O,O,O
2138,",",O,O,O,O,O,O,O,O
2139,want,O,O,O,O,O,O,O,O
2140,anders,O,O,O,O,O,O,O,O
2141,zyn,O,O,O,O,O,O,O,O
2142,de,O,O,O,O,O,O,O,O
2143,Leverbeulingen,O,O,O,An,Prod,Lit,O,An-Prod-Lit
2144,te,O,O,O,O,O,O,O,O
2145,droog,O,O,O,O,O,O,O,O
2146,.,O,O,O,O,O,O,O,O
2147,Dan,O,O,O,O,O,O,O,O
2148,neemt,O,O,O,O,O,O,O,O
2149,men,O,O,O,O,O,O,O,O
2150,een,O,O,O,O,O,O,O,O
2151,groote,O,O,O,O,O,O,O,O
2152,vleesch,O,O,O,O,O,O,O,O
2153,keetel,O,O,O,O,O,O,O,O
2154,en,O,O,O,O,O,O,O,O
2155,men,O,O,O,O,O,O,O,O
2156,hangt,O,O,O,O,O,O,O,O
2157,ze,O,O,O,O,O,O,O,O
2158,vol,O,O,O,O,O,O,O,O
2159,regen,O,O,O,O,O,O,O,O
2160,water,O,O,O,O,O,O,O,O
2161,over,O,O,O,O,O,O,O,O
2162,het,O,O,O,O,O,O,O,O
2163,vuur,O,O,O,O,O,O,O,O
2164,",",O,O,O,O,O,O,O,O
2165,en,O,O,O,O,O,O,O,O
2166,als,O,O,O,O,O,O,O,O
2167,het,O,O,O,O,O,O,O,O
2168,water,O,O,O,O,O,O,O,O
2169,kookt,O,O,O,O,O,O,O,O
2170,doet,O,O,O,O,O,O,O,O
2171,men,O,O,O,O,O,O,O,O
2172,de,O,O,O,O,O,O,O,O
2173,beulingen,O,O,O,An,Prod,Lit,O,An-Prod-Lit
2174,daar,O,O,O,O,O,O,O,O
2175,in,O,O,O,O,O,O,O,O
2176,",",O,O,O,O,O,O,O,O
2177,dat,O,O,O,O,O,O,O,O
2178,die,O,O,O,O,O,O,O,O
2179,regt,O,O,O,O,O,O,O,O
2180,uit,O,O,O,O,O,O,O,O
2181,en,O,O,O,O,O,O,O,O
2182,niet,O,O,O,O,O,O,O,O
2183,op,O,O,O,O,O,O,O,O
2184,malkanderen,O,O,O,O,O,O,O,O
2185,leggen,O,O,O,O,O,O,O,O
2186,",",O,O,O,O,O,O,O,O
2187,daarom,O,O,O,O,O,O,O,O
2188,mag,O,O,O,O,O,O,O,O
2189,men,O,O,O,O,O,O,O,O
2190,niet,O,O,O,O,O,O,O,O
2191,meer,O,O,O,O,O,O,O,O
2192,als,O,O,O,O,O,O,O,O
2193,anderhalf,O,O,O,O,O,O,O,O
2194,douzyn,O,O,O,O,O,O,O,O
2195,beulingen,O,O,O,An,Prod,Lit,O,An-Prod-Lit
2196,te,O,O,O,O,O,O,O,O
2197,gelyk,O,O,O,O,O,O,O,O
2198,kooken,O,O,O,O,O,O,O,O
2199,;,O,O,O,O,O,O,O,O
2200,en,O,O,O,O,O,O,O,O
2201,ze,O,O,O,O,O,O,O,O
2202,moeten,O,O,O,O,O,O,O,O
2203,heel,O,O,O,O,O,O,O,O
2204,zagtjes,O,O,O,O,O,O,O,O
2205,kooken,O,O,O,O,O,O,O,O
2206,",",O,O,O,O,O,O,O,O
2207,omtrent,O,O,O,O,O,O,O,O
2208,een,O,O,O,O,O,O,O,O
2209,half,O,O,O,O,O,O,O,O
2210,uur,O,O,O,O,O,O,O,O
2211,lang,O,O,O,O,O,O,O,O
2212,.,O,O,O,O,O,O,O,O
2213,Als,O,O,O,O,O,O,O,O
2214,ze,O,O,O,O,O,O,O,O
2215,boven,O,O,O,O,O,O,O,O
2216,komen,O,O,O,O,O,O,O,O
2217,dan,O,O,O,O,O,O,O,O
2218,moet,O,O,O,O,O,O,O,O
2219,men,O,O,O,O,O,O,O,O
2220,ze,O,O,O,O,O,O,O,O
2221,prikken,O,O,O,O,O,O,O,O
2222,anders,O,O,O,O,O,O,O,O
2223,koken,O,O,O,O,O,O,O,O
2224,ze,O,O,O,O,O,O,O,O
2225,aan,O,O,O,O,O,O,O,O
2226,stukken,O,O,O,O,O,O,O,O
2227,:,O,O,O,O,O,O,O,O
2228,En,O,O,O,O,O,O,O,O
2229,als,O,O,O,O,O,O,O,O
2230,ze,O,O,O,O,O,O,O,O
2231,gaar,O,O,O,O,O,O,O,O
2232,zyn,O,O,O,O,O,O,O,O
2233,moeten,O,O,O,O,O,O,O,O
2234,ze,O,O,O,O,O,O,O,O
2235,met,O,O,O,O,O,O,O,O
2236,een,O,O,O,O,O,O,O,O
2237,schuimspaan,O,O,O,O,O,O,O,O
2238,worden,O,O,O,O,O,O,O,O
2239,uit,O,O,O,O,O,O,O,O
2240,-,O,O,O,O,O,O,O,O
2241,geschept,O,O,O,O,O,O,O,O
2242,in,O,O,O,O,O,O,O,O
2243,een,O,O,O,O,O,O,O,O
2244,Emmer,O,O,O,O,O,O,O,O
2245,met,O,O,O,O,O,O,O,O
2246,koud,O,O,O,O,O,O,O,O
2247,water,O,O,O,O,O,O,O,O
2248,;,O,O,O,O,O,O,O,O
2249,en,O,O,O,O,O,O,O,O
2250,dan,O,O,O,O,O,O,O,O
2251,worden,O,O,O,O,O,O,O,O
2252,ze,O,O,O,O,O,O,O,O
2253,op,O,O,O,O,O,O,O,O
2254,een,O,O,O,O,O,O,O,O
2255,tafel,O,O,O,O,O,O,O,O
2256,daar,O,O,O,O,O,O,O,O
2257,wat,O,O,O,O,O,O,O,O
2258,stroo,Plant,Prod,Lit,Plant,Prod,Lit,Plant-Prod-Lit,Plant-Prod-Lit
2259,op,O,O,O,O,O,O,O,O
2260,is,O,O,O,O,O,O,O,O
2261,in,O,O,O,O,O,O,O,O
2262,de,O,O,O,O,O,O,O,O
2263,lucht,O,O,O,O,O,O,O,O
2264,gelegt,O,O,O,O,O,O,O,O
2265,",",O,O,O,O,O,O,O,O
2266,tot,O,O,O,O,O,O,O,O
2267,dat,O,O,O,O,O,O,O,O
2268,ze,O,O,O,O,O,O,O,O
2269,koud,O,O,O,O,O,O,O,O
2270,zyn,O,O,O,O,O,O,O,O
2271,.,O,O,O,O,O,O,O,O
2272,Eindelyk,O,O,O,O,O,O,O,O
2273,rygt,O,O,O,O,O,O,O,O
2274,men,O,O,O,O,O,O,O,O
2275,ze,O,O,O,O,O,O,O,O
2276,aan,O,O,O,O,O,O,O,O
2277,stokjes,O,O,O,O,O,O,O,O
2278,en,O,O,O,O,O,O,O,O
2279,men,O,O,O,O,O,O,O,O
2280,hangt,O,O,O,O,O,O,O,O
2281,ze,O,O,O,O,O,O,O,O
2282,op,O,O,O,O,O,O,O,O
2283,een,O,O,O,O,O,O,O,O
2284,luchtige,O,O,O,O,O,O,O,O
2285,plaats,O,O,O,O,O,O,O,O
2286,niet,O,O,O,O,O,O,O,O
2287,te,O,O,O,O,O,O,O,O
2288,digt,O,O,O,O,O,O,O,O
2289,by,O,O,O,O,O,O,O,O
2290,malkanderen,O,O,O,O,O,O,O,O
2291,",",O,O,O,O,O,O,O,O
2292,om,O,O,O,O,O,O,O,O
2293,te,O,O,O,O,O,O,O,O
2294,gebruiken,O,O,O,O,O,O,O,O
2295,als,O,O,O,O,O,O,O,O
2296,men,O,O,O,O,O,O,O,O
2297,wil,O,O,O,O,O,O,O,O
2298,.,O,O,O,O,O,O,O,O
2299,6,O,O,O,O,O,O,O,O
2300,.,O,O,O,O,O,O,O,O
2301,Niervet,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
2302,",",O,O,O,O,O,O,O,O
2303,hoe,O,O,O,O,O,O,O,O
2304,men,O,O,O,O,O,O,O,O
2305,dat,O,O,O,O,O,O,O,O
2306,best,O,O,O,O,O,O,O,O
2307,smelten,O,O,O,O,O,O,O,O
2308,zal,O,O,O,O,O,O,O,O
2309,.,O,O,O,O,O,O,O,O
2310,Het,O,O,O,O,O,O,O,O
2311,Niervet,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
2312,is,O,O,O,O,O,O,O,O
2313,goed,O,O,O,O,O,O,O,O
2314,om,O,O,O,O,O,O,O,O
2315,te,O,O,O,O,O,O,O,O
2316,smelten,O,O,O,O,O,O,O,O
2317,",",O,O,O,O,O,O,O,O
2318,dan,O,O,O,O,O,O,O,O
2319,kan,O,O,O,O,O,O,O,O
2320,men,O,O,O,O,O,O,O,O
2321,het,O,O,O,O,O,O,O,O
2322,bewaaren,O,O,O,O,O,O,O,O
2323,om,O,O,O,O,O,O,O,O
2324,tot,O,O,O,O,O,O,O,O
2325,veel,O,O,O,O,O,O,O,O
2326,zaaken,O,O,O,O,O,O,O,O
2327,te,O,O,O,O,O,O,O,O
2328,gebruiken,O,O,O,O,O,O,O,O
2329,.,O,O,O,O,O,O,O,O
2330,Men,O,O,O,O,O,O,O,O
2331,snyd,O,O,O,O,O,O,O,O
2332,het,O,O,O,O,O,O,O,O
2333,in,O,O,O,O,O,O,O,O
2334,vierkante,O,O,O,O,O,O,O,O
2335,dobbelsteenen,O,O,O,O,O,O,O,O
2336,",",O,O,O,O,O,O,O,O
2337,en,O,O,O,O,O,O,O,O
2338,men,O,O,O,O,O,O,O,O
2339,hangt,O,O,O,O,O,O,O,O
2340,het,O,O,O,O,O,O,O,O
2341,in,O,O,O,O,O,O,O,O
2342,een,O,O,O,O,O,O,O,O
2343,yzere,O,O,O,O,O,O,O,O
2344,pot,O,O,O,O,O,O,O,O
2345,over,O,O,O,O,O,O,O,O
2346,het,O,O,O,O,O,O,O,O
2347,vuur,O,O,O,O,O,O,O,O
2348,",",O,O,O,O,O,O,O,O
2349,en,O,O,O,O,O,O,O,O
2350,als,O,O,O,O,O,O,O,O
2351,het,O,O,O,O,O,O,O,O
2352,gesmolten,O,O,O,O,O,O,O,O
2353,is,O,O,O,O,O,O,O,O
2354,",",O,O,O,O,O,O,O,O
2355,doet,O,O,O,O,O,O,O,O
2356,men,O,O,O,O,O,O,O,O
2357,het,O,O,O,O,O,O,O,O
2358,door,O,O,O,O,O,O,O,O
2359,een,O,O,O,O,O,O,O,O
2360,zeef,O,O,O,O,O,O,O,O
2361,heenen,O,O,O,O,O,O,O,O
2362,loopen,O,O,O,O,O,O,O,O
2363,in,O,O,O,O,O,O,O,O
2364,een,O,O,O,O,O,O,O,O
2365,aarde,O,O,O,O,O,O,O,O
2366,keulse,O,O,O,O,O,O,O,O
2367,pot,O,O,O,O,O,O,O,O
2368,",",O,O,O,O,O,O,O,O
2369,daar,O,O,O,O,O,O,O,O
2370,men,O,O,O,O,O,O,O,O
2371,eerst,O,O,O,O,O,O,O,O
2372,een,O,O,O,O,O,O,O,O
2373,hand,O,O,O,O,O,O,O,O
2374,vol,O,O,O,O,O,O,O,O
2375,zout,O,O,O,O,O,O,O,O
2376,",",O,O,O,O,O,O,O,O
2377,met,O,O,O,O,O,O,O,O
2378,wat,O,O,O,O,O,O,O,O
2379,heele,O,O,O,O,O,O,O,O
2380,peper,Plant,Prod,Lit,Plant,Prod,Lit,Plant-Prod-Lit,Plant-Prod-Lit
2381,en,O,O,O,O,O,O,O,O
2382,kruidnagels,Plant,Prod,Lit,Plant,Prod,Lit,Plant-Prod-Lit,Plant-Prod-Lit
2383,in,O,O,O,O,O,O,O,O
2384,doet,O,O,O,O,O,O,O,O
2385,;,O,O,O,O,O,O,O,O
2386,het,O,O,O,O,O,O,O,O
2387,gesmolten,O,O,O,O,O,O,O,O
2388,vet,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
2389,moet,O,O,O,O,O,O,O,O
2390,men,O,O,O,O,O,O,O,O
2391,gestadig,O,O,O,O,O,O,O,O
2392,roeren,O,O,O,O,O,O,O,O
2393,om,O,O,O,O,O,O,O,O
2394,niet,O,O,O,O,O,O,O,O
2395,borderig,O,O,O,O,O,O,O,O
2396,te,O,O,O,O,O,O,O,O
2397,worden,O,O,O,O,O,O,O,O
2398,;,O,O,O,O,O,O,O,O
2399,en,O,O,O,O,O,O,O,O
2400,als,O,O,O,O,O,O,O,O
2401,het,O,O,O,O,O,O,O,O
2402,afgesmolten,O,O,O,O,O,O,O,O
2403,is,O,O,O,O,O,O,O,O
2404,",",O,O,O,O,O,O,O,O
2405,moet,O,O,O,O,O,O,O,O
2406,men,O,O,O,O,O,O,O,O
2407,het,O,O,O,O,O,O,O,O
2408,zo,O,O,O,O,O,O,O,O
2409,lang,O,O,O,O,O,O,O,O
2410,roeren,O,O,O,O,O,O,O,O
2411,tot,O,O,O,O,O,O,O,O
2412,het,O,O,O,O,O,O,O,O
2413,koud,O,O,O,O,O,O,O,O
2414,is,O,O,O,O,O,O,O,O
2415,:,O,O,O,O,O,O,O,O
2416,Als,O,O,O,O,O,O,O,O
2417,het,O,O,O,O,O,O,O,O
2418,koud,O,O,O,O,O,O,O,O
2419,is,O,O,O,O,O,O,O,O
2420,zo,O,O,O,O,O,O,O,O
2421,doet,O,O,O,O,O,O,O,O
2422,men,O,O,O,O,O,O,O,O
2423,',O,O,O,O,O,O,O,O
2424,er,O,O,O,O,O,O,O,O
2425,wat,O,O,O,O,O,O,O,O
2426,droog,O,O,O,O,O,O,O,O
2427,zout,O,O,O,O,O,O,O,O
2428,boven,O,O,O,O,O,O,O,O
2429,op,O,O,O,O,O,O,O,O
2430,om,O,O,O,O,O,O,O,O
2431,niet,O,O,O,O,O,O,O,O
2432,sterk,O,O,O,O,O,O,O,O
2433,te,O,O,O,O,O,O,O,O
2434,worden,O,O,O,O,O,O,O,O
2435,",",O,O,O,O,O,O,O,O
2436,en,O,O,O,O,O,O,O,O
2437,men,O,O,O,O,O,O,O,O
2438,zet,O,O,O,O,O,O,O,O
2439,het,O,O,O,O,O,O,O,O
2440,weg,O,O,O,O,O,O,O,O
2441,om,O,O,O,O,O,O,O,O
2442,te,O,O,O,O,O,O,O,O
2443,gebruiken,O,O,O,O,O,O,O,O
2444,",",O,O,O,O,O,O,O,O
2445,het,O,O,O,O,O,O,O,O
2446,best,O,O,O,O,O,O,O,O
2447,is,O,O,O,O,O,O,O,O
2448,in,O,O,O,O,O,O,O,O
2449,een,O,O,O,O,O,O,O,O
2450,koele,O,O,O,O,O,O,O,O
2451,kelder,O,O,O,O,O,O,O,O
2452,",",O,O,O,O,O,O,O,O
2453,en,O,O,O,O,O,O,O,O
2454,het,O,O,O,O,O,O,O,O
2455,is,O,O,O,O,O,O,O,O
2456,heel,O,O,O,O,O,O,O,O
2457,goed,O,O,O,O,O,O,O,O
2458,om,O,O,O,O,O,O,O,O
2459,daar,O,O,O,O,O,O,O,O
2460,mede,O,O,O,O,O,O,O,O
2461,te,O,O,O,O,O,O,O,O
2462,bakken,O,O,O,O,O,O,O,O
2463,en,O,O,O,O,O,O,O,O
2464,te,O,O,O,O,O,O,O,O
2465,stooven,O,O,O,O,O,O,O,O
2466,als,O,O,O,O,O,O,O,O
2467,het,O,O,O,O,O,O,O,O
2468,ossenvleesch,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
2469,is,O,O,O,O,O,O,O,O
2470,",",O,O,O,O,O,O,O,O
2471,ook,O,O,O,O,O,O,O,O
2472,gebruikt,O,O,O,O,O,O,O,O
2473,men,O,O,O,O,O,O,O,O
2474,het,O,O,O,O,O,O,O,O
2475,in,O,O,O,O,O,O,O,O
2476,eenige,O,O,O,O,O,O,O,O
2477,groentens,Plant,Prod,Lit,Plant,Prod,Lit,Plant-Prod-Lit,Plant-Prod-Lit
2478,.,O,O,O,O,O,O,O,O
2479,7,O,O,O,O,O,O,O,O
2480,.,O,O,O,O,O,O,O,O
2481,Osse,O,O,O,O,O,O,O,O
2482,-,O,O,O,O,O,O,O,O
2483,pekel,O,O,O,O,O,O,O,O
2484,en,O,O,O,O,O,O,O,O
2485,Rookworst,O,O,O,An,Prod,Lit,O,An-Prod-Lit
2486,",",O,O,O,O,O,O,O,O
2487,hoe,O,O,O,O,O,O,O,O
2488,men,O,O,O,O,O,O,O,O
2489,die,O,O,O,O,O,O,O,O
2490,maaken,O,O,O,O,O,O,O,O
2491,zal,O,O,O,O,O,O,O,O
2492,.,O,O,O,O,O,O,O,O
2493,Neemt,O,O,O,O,O,O,O,O
2494,by,O,O,O,O,O,O,O,O
2495,de,O,O,O,O,O,O,O,O
2496,80,O,O,O,O,O,O,O,O
2497,ponden,O,O,O,O,O,O,O,O
2498,gekapt,O,O,O,O,O,O,O,O
2499,Ossen,O,O,O,O,O,O,O,O
2500,-,O,O,O,O,O,O,O,O
2501,vleesch,O,O,O,O,O,O,O,O
2502,",",O,O,O,O,O,O,O,O
2503,20,O,O,O,O,O,O,O,O
2504,ponden,O,O,O,O,O,O,O,O
2505,Osse,O,O,O,O,O,O,O,O
2506,-,O,O,O,O,O,O,O,O
2507,vet,O,O,O,O,O,O,O,O
2508,van,O,O,O,O,O,O,O,O
2509,de,O,O,O,O,O,O,O,O
2510,broek,O,O,O,O,O,O,O,O
2511,",",O,O,O,O,O,O,O,O
2512,daar,O,O,O,O,O,O,O,O
2513,het,O,O,O,O,O,O,O,O
2514,vellige,O,O,O,An,Part,Lit,O,An-Part-Lit
2515,schoon,O,O,O,O,O,O,O,O
2516,afgedaan,O,O,O,O,O,O,O,O
2517,is,O,O,O,O,O,O,O,O
2518,",",O,O,O,O,O,O,O,O
2519,en,O,O,O,O,O,O,O,O
2520,dat,O,O,O,O,O,O,O,O
2521,zo,O,O,O,O,O,O,O,O
2522,klein,O,O,O,O,O,O,O,O
2523,gehakt,O,O,O,O,O,O,O,O
2524,is,O,O,O,O,O,O,O,O
2525,als,O,O,O,O,O,O,O,O
2526,het,O,O,O,O,O,O,O,O
2527,Osse,O,O,O,O,O,O,O,O
2528,-,O,O,O,O,O,O,O,O
2529,vleesch,O,O,O,O,O,O,O,O
2530,;,O,O,O,O,O,O,O,O
2531,en,O,O,O,O,O,O,O,O
2532,doet,O,O,O,O,O,O,O,O
2533,daar,O,O,O,O,O,O,O,O
2534,by,O,O,O,O,O,O,O,O
2535,10,O,O,O,O,O,O,O,O
2536,ponden,O,O,O,O,O,O,O,O
2537,spek,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
2538,aan,O,O,O,O,O,O,O,O
2539,kleine,O,O,O,O,O,O,O,O
2540,dobbelsteentjes,O,O,O,O,O,O,O,O
2541,gesneden,O,O,O,O,O,O,O,O
2542,.,O,O,O,O,O,O,O,O
2543,Neemt,O,O,O,O,O,O,O,O
2544,dan,O,O,O,O,O,O,O,O
2545,twee,O,O,O,O,O,O,O,O
2546,en,O,O,O,O,O,O,O,O
2547,een,O,O,O,O,O,O,O,O
2548,half,O,O,O,O,O,O,O,O
2549,pond,O,O,O,O,O,O,O,O
2550,zout,O,O,O,O,O,O,O,O
2551,;,O,O,O,O,O,O,O,O
2552,een,O,O,O,O,O,O,O,O
2553,vierendeel,O,O,O,O,O,O,O,O
2554,gestoote,O,O,O,O,O,O,O,O
2555,zwarte,Plant,Prod,Lit,O,O,O,Plant-Prod-Lit,O
2556,peper,Plant,Prod,Lit,Plant,Prod,Lit,Plant-Prod-Lit,Plant-Prod-Lit
2557,;,O,O,O,O,O,O,O,O
2558,een,O,O,O,O,O,O,O,O
2559,half,O,O,O,O,O,O,O,O
2560,vierendeel,O,O,O,O,O,O,O,O
2561,gestoote,O,O,O,O,O,O,O,O
2562,kruidnagelen,Plant,Prod,Lit,Plant,Prod,Lit,Plant-Prod-Lit,Plant-Prod-Lit
2563,;,O,O,O,O,O,O,O,O
2564,een,O,O,O,O,O,O,O,O
2565,hand,O,O,O,O,O,O,O,O
2566,vol,O,O,O,O,O,O,O,O
2567,gedroogde,O,O,O,O,O,O,O,O
2568,Saly,Plant,Prod,Lit,Plant,Prod,Lit,Plant-Prod-Lit,Plant-Prod-Lit
2569,",",O,O,O,O,O,O,O,O
2570,en,O,O,O,O,O,O,O,O
2571,als,O,O,O,O,O,O,O,O
2572,het,O,O,O,O,O,O,O,O
2573,gestooten,O,O,O,O,O,O,O,O
2574,is,O,O,O,O,O,O,O,O
2575,zo,O,O,O,O,O,O,O,O
2576,roert,O,O,O,O,O,O,O,O
2577,het,O,O,O,O,O,O,O,O
2578,gekapte,O,O,O,O,O,O,O,O
2579,alles,O,O,O,O,O,O,O,O
2580,onder,O,O,O,O,O,O,O,O
2581,het,O,O,O,O,O,O,O,O
2582,zout,O,O,O,O,O,O,O,O
2583,te,O,O,O,O,O,O,O,O
2584,zaamen,O,O,O,O,O,O,O,O
2585,",",O,O,O,O,O,O,O,O
2586,en,O,O,O,O,O,O,O,O
2587,strooidt,O,O,O,O,O,O,O,O
2588,het,O,O,O,O,O,O,O,O
2589,over,O,O,O,O,O,O,O,O
2590,het,O,O,O,O,O,O,O,O
2591,gekapte,O,O,O,O,O,O,O,O
2592,Osse,O,O,O,O,O,O,O,O
2593,-,O,O,O,O,O,O,O,O
2594,vleesch,O,O,O,O,O,O,O,O
2595,en,O,O,O,O,O,O,O,O
2596,laat,O,O,O,O,O,O,O,O
2597,het,O,O,O,O,O,O,O,O
2598,zo,O,O,O,O,O,O,O,O
2599,te,O,O,O,O,O,O,O,O
2600,zamen,O,O,O,O,O,O,O,O
2601,met,O,O,O,O,O,O,O,O
2602,het,O,O,O,O,O,O,O,O
2603,vet,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
2604,",",O,O,O,O,O,O,O,O
2605,en,O,O,O,O,O,O,O,O
2606,met,O,O,O,O,O,O,O,O
2607,het,O,O,O,O,O,O,O,O
2608,spek,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
2609,",",O,O,O,O,O,O,O,O
2610,ter,O,O,O,O,O,O,O,O
2611,deegen,O,O,O,O,O,O,O,O
2612,door,O,O,O,O,O,O,O,O
2613,een,O,O,O,O,O,O,O,O
2614,kneeden,O,O,O,O,O,O,O,O
2615,in,O,O,O,O,O,O,O,O
2616,een,O,O,O,O,O,O,O,O
2617,tobbetje,O,O,O,O,O,O,O,O
2618,",",O,O,O,O,O,O,O,O
2619,en,O,O,O,O,O,O,O,O
2620,laat,O,O,O,O,O,O,O,O
2621,het,O,O,O,O,O,O,O,O
2622,zo,O,O,O,O,O,O,O,O
2623,een,O,O,O,O,O,O,O,O
2624,nacht,O,O,O,O,O,O,O,O
2625,overstaan,O,O,O,O,O,O,O,O
2626,",",O,O,O,O,O,O,O,O
2627,dat,O,O,O,O,O,O,O,O
2628,het,O,O,O,O,O,O,O,O
2629,kruid,Plant,Prod,Lit,Plant,Prod,Lit,Plant-Prod-Lit,Plant-Prod-Lit
2630,ter,O,O,O,O,O,O,O,O
2631,degen,O,O,O,O,O,O,O,O
2632,daar,O,O,O,O,O,O,O,O
2633,door,O,O,O,O,O,O,O,O
2634,kan,O,O,O,O,O,O,O,O
2635,trekken,O,O,O,O,O,O,O,O
2636,",",O,O,O,O,O,O,O,O
2637,en,O,O,O,O,O,O,O,O
2638,legt,O,O,O,O,O,O,O,O
2639,',O,O,O,O,O,O,O,O
2640,er,O,O,O,O,O,O,O,O
2641,een,O,O,O,O,O,O,O,O
2642,schoone,O,O,O,O,O,O,O,O
2643,doek,O,O,O,O,O,O,O,O
2644,over,O,O,O,O,O,O,O,O
2645,heen,O,O,O,O,O,O,O,O
2646,;,O,O,O,O,O,O,O,O
2647,en,O,O,O,O,O,O,O,O
2648,eer,O,O,O,O,O,O,O,O
2649,gy,O,O,O,O,O,O,O,O
2650,het,O,O,O,O,O,O,O,O
2651,dan,O,O,O,O,O,O,O,O
2652,stopt,O,O,O,O,O,O,O,O
2653,in,O,O,O,O,O,O,O,O
2654,wel,O,O,O,O,O,O,O,O
2655,schoon,O,O,O,O,O,O,O,O
2656,gemaakte,O,O,O,O,O,O,O,O
2657,Ossedarmen,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
2658,",",O,O,O,O,O,O,O,O
2659,zo,O,O,O,O,O,O,O,O
2660,moet,O,O,O,O,O,O,O,O
2661,het,O,O,O,O,O,O,O,O
2662,nog,O,O,O,O,O,O,O,O
2663,eens,O,O,O,O,O,O,O,O
2664,ter,O,O,O,O,O,O,O,O
2665,degen,O,O,O,O,O,O,O,O
2666,doorgeroert,O,O,O,O,O,O,O,O
2667,worden,O,O,O,O,O,O,O,O
2668,.,O,O,O,O,O,O,O,O
2669,Als,O,O,O,O,O,O,O,O
2670,de,O,O,O,O,O,O,O,O
2671,Worsten,O,O,O,An,Prod,Lit,O,An-Prod-Lit
2672,wel,O,O,O,O,O,O,O,O
2673,gestopt,O,O,O,O,O,O,O,O
2674,zyn,O,O,O,O,O,O,O,O
2675,",",O,O,O,O,O,O,O,O
2676,zo,O,O,O,O,O,O,O,O
2677,moeten,O,O,O,O,O,O,O,O
2678,ze,O,O,O,O,O,O,O,O
2679,op,O,O,O,O,O,O,O,O
2680,een,O,O,O,O,O,O,O,O
2681,stok,Plant,Prod,Lit,O,O,O,Plant-Prod-Lit,O
2682,wat,O,O,O,O,O,O,O,O
2683,te,O,O,O,O,O,O,O,O
2684,droogen,O,O,O,O,O,O,O,O
2685,gehangen,O,O,O,O,O,O,O,O
2686,worden,O,O,O,O,O,O,O,O
2687,",",O,O,O,O,O,O,O,O
2688,en,O,O,O,O,O,O,O,O
2689,dan,O,O,O,O,O,O,O,O
2690,in,O,O,O,O,O,O,O,O
2691,een,O,O,O,O,O,O,O,O
2692,aarde,O,O,O,O,O,O,O,O
2693,keulse,O,O,O,O,O,O,O,O
2694,pot,O,O,O,O,O,O,O,O
2695,",",O,O,O,O,O,O,O,O
2696,of,O,O,O,O,O,O,O,O
